county_name,sample_date,parameter,result,reporting_limit,units
Alameda,07/07/1980 14:00,Total Hardness,364,1.00000000,mg/L as CaCO3
Alameda,08/09/1984 10:52,Total Hardness,354,1.00000000,mg/L as CaCO3
Alameda,09/26/1977 12:00,Total Hardness,346,1.00000000,mg/L as CaCO3
Alameda,10/19/1982 11:00,Total Hardness,350,1.00000000,mg/L as CaCO3
Alameda,05/07/1974 00:00,Total Hardness,360,1.00000000,mg/L as CaCO3
Alameda,07/22/1981 14:10,Total Hardness,388,1.00000000,mg/L as CaCO3
Alameda,09/07/1983 11:10,Total Hardness,398,1.00000000,mg/L as CaCO3
Alameda,09/13/1976 00:00,Total Hardness,360,1.00000000,mg/L as CaCO3
Alameda,09/18/1975 00:00,Total Hardness,376,1.00000000,mg/L as CaCO3
Alameda,09/26/1977 12:00,Total Hardness,394,1.00000000,mg/L as CaCO3
Alameda,10/23/1979 13:40,Total Hardness,390,1.00000000,mg/L as CaCO3
Alameda,12/18/1985 11:40,Total Hardness,434,1.00000000,mg/L as CaCO3
Alameda,03/11/1974 00:00,Total Hardness,262,1.00000000,mg/L as CaCO3
Alameda,07/18/1967 17:10,Total Hardness,229,1.00000000,mg/L as CaCO3
Alameda,07/30/1974 10:15,Total Hardness,330,1.00000000,mg/L as CaCO3
Alameda,07/30/1975 10:05,Total Hardness,260,1.00000000,mg/L as CaCO3
Alameda,08/08/1976 00:00,Total Hardness,330,1.00000000,mg/L as CaCO3
Alameda,08/10/1971 00:00,Total Hardness,306,1.00000000,mg/L as CaCO3
Alameda,09/21/1975 00:00,Total Hardness,328,1.00000000,mg/L as CaCO3
Alameda,05/08/1986 13:05,Total Hardness,362,1.00000000,mg/L as CaCO3
Alameda,06/03/1988 12:00,Total Hardness,344,1.00000000,mg/L as CaCO3
Alameda,06/15/1976 00:00,Total Hardness,372,1.00000000,mg/L as CaCO3
Alameda,07/11/1977 12:00,Total Hardness,378,1.00000000,mg/L as CaCO3
Alameda,07/24/1974 00:00,Total Hardness,420,1.00000000,mg/L as CaCO3
Alameda,08/04/1975 00:00,Total Hardness,388,1.00000000,mg/L as CaCO3
Alameda,08/09/1984 10:40,Total Hardness,348,1.00000000,mg/L as CaCO3
Alameda,10/20/1982 13:05,Total Hardness,364,1.00000000,mg/L as CaCO3
Alameda,11/04/1980 12:25,Total Hardness,368,1.00000000,mg/L as CaCO3
Alameda,01/12/1976 00:00,Total Hardness,454,1.00000000,mg/L as CaCO3
Alameda,02/12/1975 00:00,Total Hardness,460,1.00000000,mg/L as CaCO3
Alameda,03/11/1974 00:00,Total Hardness,440,1.00000000,mg/L as CaCO3
Alameda,04/04/1979 14:30,Total Hardness,442,1.00000000,mg/L as CaCO3
Alameda,04/05/1977 00:00,Total Hardness,466,1.00000000,mg/L as CaCO3
Alameda,06/13/1983 13:30,Total Hardness,448,1.00000000,mg/L as CaCO3
Alameda,07/07/1987 13:20,Total Hardness,400,1.00000000,mg/L as CaCO3
Alameda,12/18/1985 16:20,Total Hardness,470,1.00000000,mg/L as CaCO3
Alameda,01/24/1977 00:00,Total Hardness,338,1.00000000,mg/L as CaCO3
Alameda,04/07/1980 13:50,Total Hardness,336,1.00000000,mg/L as CaCO3
Alameda,04/19/1982 12:50,Total Hardness,240,1.00000000,mg/L as CaCO3
Alameda,04/28/1987 08:51,Total Hardness,332,1.00000000,mg/L as CaCO3
Alameda,05/01/1975 00:00,Total Hardness,326,1.00000000,mg/L as CaCO3
Alameda,06/15/1976 00:00,Total Hardness,334,1.00000000,mg/L as CaCO3
Alameda,06/30/1986 09:30,Total Hardness,356,1.00000000,mg/L as CaCO3
Alameda,07/17/1984 11:20,Total Hardness,323,1.00000000,mg/L as CaCO3
Alameda,07/24/1974 00:00,Total Hardness,332,1.00000000,mg/L as CaCO3
Alameda,06/03/1988 12:40,Total Hardness,416,1.00000000,mg/L as CaCO3
Alameda,06/15/1976 00:00,Total Hardness,280,1.00000000,mg/L as CaCO3
Alameda,07/07/1980 13:15,Total Hardness,290,1.00000000,mg/L as CaCO3
Alameda,07/11/1977 13:35,Total Hardness,284,1.00000000,mg/L as CaCO3
Alameda,07/24/1974 00:00,Total Hardness,278,1.00000000,mg/L as CaCO3
Alameda,08/04/1975 00:00,Total Hardness,282,1.00000000,mg/L as CaCO3
Alameda,08/09/1984 11:15,Total Hardness,370,1.00000000,mg/L as CaCO3
Alameda,10/19/1982 12:15,Total Hardness,296,1.00000000,mg/L as CaCO3
Alameda,04/19/1982 09:25,Total Hardness,350,1.00000000,mg/L as CaCO3
Alameda,05/01/1975 00:00,Total Hardness,294,1.00000000,mg/L as CaCO3
Alameda,05/05/1980 16:30,Total Hardness,342,1.00000000,mg/L as CaCO3
Alameda,06/03/1988 14:15,Total Hardness,366,1.00000000,mg/L as CaCO3
